scenario_id,rule,odd_zone,wind_kn,vis_m,seed,colreg_rules,hazid_refs,test_ids,acceptance_criteria
imazu-15-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-15-ms,CPA>=300.0m
imazu-16-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-16-ms,CPA>=300.0m
imazu-17-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-17-ms,CPA>=300.0m
imazu-18-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-18-ms,CPA>=300.0m
imazu-19-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-19-ms,CPA>=300.0m
imazu-20-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-20-ms,CPA>=300.0m
imazu-21-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-21-ms,CPA>=300.0m
imazu-22-ms-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-imazu-22-ms,CPA>=300.0m
colreg-rule13-ot-002-v1.0,Rule13,open_sea,0.0,10001,1,Rule13,HAZ-003,TC-colreg-rule13-ot-2,CPA>=926.0m
colreg-rule13-ot-003-v1.0,Rule13,open_sea,8.0,10001,1,Rule13,HAZ-003,TC-colreg-rule13-ot-3,CPA>=926.0m
colreg-rule13-ot-001-v1.0,Rule13,open_sea,0.0,10001,1,Rule13,HAZ-003,TC-colreg-rule13-ot,CPA>=500.0m
colreg-rule14-ho-002-v1.0,Rule14,open_sea,5.0,5000,1,Rule14,HAZ-001;HAZ-002,TC-colreg-rule14-ho-2,CPA>=926.0m
colreg-rule14-ho-003-v1.0,Rule14,coastal_traffic_separation,0.0,1000,1,Rule14,HAZ-001;HAZ-002,TC-colreg-rule14-ho-3,CPA>=926.0m
colreg-rule14-ho-001-v1.0,Rule14,open_sea,0.0,10001,1,Rule14,HAZ-001;HAZ-002,TC-colreg-rule14-ho,CPA>=500.0m
colreg-rule15-cs-002-v1.0,Rule15,open_sea,0.0,10001,1,Rule15_Stbd,HAZ-004;HAZ-005,TC-colreg-rule15-cs-2,CPA>=926.0m
colreg-rule15-cs-003-v1.0,Rule15,open_sea,0.0,10001,1,Rule15_Port,HAZ-004;HAZ-005,TC-colreg-rule15-cs-3,
colreg-rule15-cs-004-v1.0,Rule15,open_sea,0.0,10001,1,Rule15_Stbd,HAZ-004;HAZ-005,TC-colreg-rule15-cs-4,CPA>=926.0m
colreg-rule15-cs-001-v1.0,Rule15,open_sea,0.0,10001,1,Rule15_Stbd,HAZ-004;HAZ-005,TC-colreg-rule15-cs,CPA>=926.0m
smoke-01-ho-open-calm-v1.0,Rule14,open_sea,0.0,18520,1,Rule14,HAZ-001;HAZ-002,TC-smoke-01-ho-open-calm,CPA>=500.0m
smoke-02-cr-open-calm-v1.0,Rule15,open_sea,0.0,18520,1,Rule15,HAZ-004;HAZ-005,TC-smoke-02-cr-open-calm,CPA>=500.0m
smoke-03-ot-open-calm-v1.0,Rule13,open_sea,0.0,18520,1,Rule13,HAZ-003,TC-smoke-03-ot-open-calm,CPA>=500.0m
smoke-04-ho-open-bf4-v1.0,Rule14,open_sea,15.6,10001,1,Rule14,HAZ-001;HAZ-002,TC-smoke-04-ho-open-bf4,CPA>=500.0m
smoke-05-cr-coastal-calm-v1.0,Rule15,coastal_traffic_separation,2.9,14816,1,Rule15,HAZ-004;HAZ-005,TC-smoke-05-cr-coastal-calm,CPA>=500.0m
smoke-06-ho-port-calm-v1.0,Rule14,port_approach,0.0,5556,1,Rule14,HAZ-001;HAZ-002,TC-smoke-06-ho-port-calm,CPA>=500.0m
smoke-07-ot-offshore-bf2-v1.0,Rule13,offshore_wind_farm,7.8,11112,1,Rule13,HAZ-003,TC-smoke-07-ot-offshore-bf2,CPA>=500.0m
smoke-08-ho-open-degraded-v1.0,Rule14,open_sea,0.0,1000,1,Rule14,HAZ-001;HAZ-002,TC-smoke-08-ho-open-degraded,CPA>=500.0m
smoke-09-cr-open-bf6-v1.0,Rule15,open_sea,27.2,7408,1,Rule15,HAZ-004;HAZ-005,TC-smoke-09-cr-open-bf6,CPA>=500.0m
smoke-10-ot-coastal-bf4-v1.0,Rule13,coastal_traffic_separation,17.5,9260,1,Rule13,HAZ-003,TC-smoke-10-ot-coastal-bf4,CPA>=500.0m
