scenario_id,rule_id,odd_zone,target_count,own_sog_kn,wind_kn,vis_m,seed,source,file
imazu-02-cr-gw-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-02-cr-gw.yaml
imazu-03-ot-v1.0,Rule13,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-03-ot.yaml
imazu-04-cr-so-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-04-cr-so.yaml
imazu-05-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-05-ms.yaml
imazu-06-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-06-ms.yaml
imazu-07-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-07-ms.yaml
imazu-08-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-08-ms.yaml
imazu-09-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-09-ms.yaml
imazu-10-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-10-ms.yaml
imazu-11-ms-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-11-ms.yaml
imazu-12-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-12-ms.yaml
imazu-13-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-13-ms.yaml
imazu-14-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-14-ms.yaml
imazu-15-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-15-ms.yaml
imazu-16-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-16-ms.yaml
imazu-17-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-17-ms.yaml
imazu-18-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-18-ms.yaml
imazu-19-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-19-ms.yaml
imazu-20-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-20-ms.yaml
imazu-21-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-21-ms.yaml
imazu-22-ms-v1.0,Rule14,open_sea_offshore_wind_farm,3,10.0,0.0,10000.8,1,IMAZU标准测试,../../scenarios/IMAZU标准测试/imazu-22-ms.yaml
ais-rule13-05-v1.0,Rule13,open_sea_offshore_wind_farm,1,14.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule13-05-v1.0.yaml
ais-rule13-05-v1.0,Rule16,open_sea_offshore_wind_farm,1,14.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule13-05-v1.0.yaml
ais-rule13-05-v1.0,Rule8,open_sea_offshore_wind_farm,1,14.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule13-05-v1.0.yaml
ais-rule14-01-v1.0,Rule14,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule14-01-v1.0.yaml
ais-rule14-01-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule14-01-v1.0.yaml
ais-rule14-02-v1.0,Rule14,open_sea_offshore_wind_farm,1,12.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule14-02-v1.0.yaml
ais-rule14-02-v1.0,Rule8,open_sea_offshore_wind_farm,1,12.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule14-02-v1.0.yaml
ais-rule15-port-04-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-port-04-v1.0.yaml
ais-rule15-port-04-v1.0,Rule17,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-port-04-v1.0.yaml
ais-rule15-port-04-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-port-04-v1.0.yaml
ais-rule15-starboard-03-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-stbd-03-v1.0.yaml
ais-rule15-starboard-03-v1.0,Rule16,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-stbd-03-v1.0.yaml
ais-rule15-starboard-03-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ais_derived,../../scenarios/ais_derived/ais-rule15-stbd-03-v1.0.yaml
ou-crossing-give-way-01-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,5.83,18520.0,1,ou_mode,../../scenarios/ou_mode/ou_crossing_give_way_01.yaml
ou-crossing-stand-on-01-v1.0,Rule15,open_sea_offshore_wind_farm,1,10.0,7.78,14816.0,1,ou_mode,../../scenarios/ou_mode/ou_crossing_stand_on_01.yaml
ou-head-on-01-v1.0,Rule14,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,ou_mode,../../scenarios/ou_mode/ou_head_on_01.yaml
ou-overtaking-01-v1.0,Rule13,open_sea_offshore_wind_farm,1,14.0,3.89,18520.0,1,ou_mode,../../scenarios/ou_mode/ou_overtaking_01.yaml
ou-restricted-vis-01-v1.0,Rule19,open_sea_offshore_wind_farm,1,8.0,1.94,926.0,1,ou_mode,../../scenarios/ou_mode/ou_restricted_vis_01.yaml
smoke-01-ho-open-calm-v1.0,Rule14,open_sea,1,10.0,0.0,18520.0,1,smoke,../../scenarios/smoke/smoke-01-ho-open-calm.yaml
smoke-02-cr-open-calm-v1.0,Rule15,open_sea,1,10.0,0.0,18520.0,1,smoke,../../scenarios/smoke/smoke-02-cr-open-calm.yaml
smoke-03-ot-open-calm-v1.0,Rule13,open_sea,1,10.0,0.0,18520.0,1,smoke,../../scenarios/smoke/smoke-03-ot-open-calm.yaml
smoke-04-ho-open-bf4-v1.0,Rule14,open_sea,1,10.0,15.55,10000.8,1,smoke,../../scenarios/smoke/smoke-04-ho-open-bf4.yaml
smoke-05-cr-coastal-calm-v1.0,Rule15,coastal_traffic_separation,1,10.0,2.92,14816.0,1,smoke,../../scenarios/smoke/smoke-05-cr-coastal-calm.yaml
smoke-06-ho-port-calm-v1.0,Rule14,port_approach,1,10.0,0.0,5556.0,1,smoke,../../scenarios/smoke/smoke-06-ho-port-calm.yaml
smoke-07-ot-offshore-bf2-v1.0,Rule13,offshore_wind_farm,1,10.0,7.78,11112.0,1,smoke,../../scenarios/smoke/smoke-07-ot-offshore-bf2.yaml
smoke-08-ho-open-degraded-v1.0,Rule14,open_sea,1,10.0,0.0,1000.1,1,smoke,../../scenarios/smoke/smoke-08-ho-open-degraded.yaml
smoke-09-cr-open-bf6-v1.0,Rule15,open_sea,1,10.0,27.21,7408.0,1,smoke,../../scenarios/smoke/smoke-09-cr-open-bf6.yaml
smoke-10-ot-coastal-bf4-v1.0,Rule13,coastal_traffic_separation,1,10.0,17.49,9260.0,1,smoke,../../scenarios/smoke/smoke-10-ot-coastal-bf4.yaml
synth-multi-01-v1.0,Rule14,open_sea_offshore_wind_farm,2,10.0,0.0,18520.0,1,synthetic,../../scenarios/synthetic/synth_multi_01.yaml
synth-multi-02-v1.0,Rule15,open_sea_offshore_wind_farm,2,10.0,9.72,14816.0,1,synthetic,../../scenarios/synthetic/synth_multi_02.yaml
synth-r05-01-v1.0,Rule5,open_sea_offshore_wind_farm,2,10.0,3.89,18520.0,1,synthetic,../../scenarios/synthetic/synth_r05_01.yaml
synth-r05-02-v1.0,Rule5,coastal_archipelago,1,8.0,9.72,11112.0,1,synthetic,../../scenarios/synthetic/synth_r05_02.yaml
synth-r05-03-v1.0,Rule5,open_sea_offshore_wind_farm,1,10.0,5.83,5556.0,1,synthetic,../../scenarios/synthetic/synth_r05_03.yaml
synth-r06-01-v1.0,Rule6,open_sea_offshore_wind_farm,1,12.0,0.97,555.6,1,synthetic,../../scenarios/synthetic/synth_r06_01.yaml
synth-r06-02-v1.0,Rule6,open_sea_offshore_wind_farm,1,14.0,15.55,1852.0,1,synthetic,../../scenarios/synthetic/synth_r06_02.yaml
synth-r06-03-v1.0,Rule6,open_sea_offshore_wind_farm,1,18.0,0.0,18520.0,1,synthetic,../../scenarios/synthetic/synth_r06_03.yaml
synth-r07-01-v1.0,Rule7,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,synthetic,../../scenarios/synthetic/synth_r07_01.yaml
synth-r07-02-v1.0,Rule7,open_sea_offshore_wind_farm,1,10.0,5.83,18520.0,1,synthetic,../../scenarios/synthetic/synth_r07_02.yaml
synth-r07-03-v1.0,Rule7,open_sea_offshore_wind_farm,1,8.0,1.94,2778.0,1,synthetic,../../scenarios/synthetic/synth_r07_03.yaml
synth-r08-01-v1.0,Rule8,open_sea_offshore_wind_farm,1,10.0,0.0,18520.0,1,synthetic,../../scenarios/synthetic/synth_r08_01.yaml
synth-r08-02-v1.0,Rule8,open_sea_offshore_wind_farm,1,14.0,7.78,18520.0,1,synthetic,../../scenarios/synthetic/synth_r08_02.yaml
synth-r09-01-v1.0,Rule9,coastal_archipelago,1,8.0,1.94,14816.0,1,synthetic,../../scenarios/synthetic/synth_r09_01.yaml
synth-r09-02-v1.0,Rule9,coastal_archipelago,1,12.0,0.0,14816.0,1,synthetic,../../scenarios/synthetic/synth_r09_02.yaml
synth-r09-03-v1.0,Rule9,coastal_archipelago,1,8.0,3.89,11112.0,1,synthetic,../../scenarios/synthetic/synth_r09_03.yaml
synth-r19-01-v1.0,Rule19,open_sea_offshore_wind_farm,1,6.0,0.0,370.4,1,synthetic,../../scenarios/synthetic/synth_r19_01.yaml
synth-r19-02-v1.0,Rule19,open_sea_offshore_wind_farm,1,7.0,0.97,740.8,1,synthetic,../../scenarios/synthetic/synth_r19_02.yaml
