scenario_id,rule,odd,disturbance,seed,na_cell,verdict,cpa_min_nm,asdr_hash,safety_score,rule_score,delay_pen,mag_pen,phase_score,total_score,iv_mode,fail_gif_path,trigger_id,assumption_class
sotif_A11_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,bdeeb981be8b353c,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A11,COLREGS_PARSABILITY
sotif_A11_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,21f2bc7dcc52f494,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A11,COLREGS_PARSABILITY
sotif_A11_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,f328ce28de276d72,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A11,COLREGS_PARSABILITY
sotif_A11_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,23c6db86b2d1e8ca,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A11,COLREGS_PARSABILITY
sotif_A12_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,ccff93c781fe42e1,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A12,COMMS_LINK_AVAILABILITY
sotif_A12_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,790bf8b255e8911e,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A12,COMMS_LINK_AVAILABILITY
sotif_A12_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,e6203153bbe17678,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A12,COMMS_LINK_AVAILABILITY
sotif_A12_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,f0dc2e160fd825a2,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A12,COMMS_LINK_AVAILABILITY
sotif_A12_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,b904c4f7462072ed,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A12,COMMS_LINK_AVAILABILITY
sotif_A13_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,4e9ec106f3b383a8,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A13,CHECKER_VETO_RATE
sotif_A13_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,eca0dba099b90b0c,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A13,CHECKER_VETO_RATE
sotif_A13_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,2f9e882ffbf62bc6,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A13,CHECKER_VETO_RATE
sotif_A13_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,ff575c1d77ac4361,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A13,CHECKER_VETO_RATE
sotif_A13_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,54b60c254c01454b,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A13,CHECKER_VETO_RATE
sotif_A14_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,b7d7384de02541b0,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A14,AIS_RADAR_CONSISTENCY
sotif_A14_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,0f022832a02c3b94,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A14,AIS_RADAR_CONSISTENCY
sotif_A14_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,48036303c60d1eaa,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A14,AIS_RADAR_CONSISTENCY
sotif_A14_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,9982acf12af8b8df,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A14,AIS_RADAR_CONSISTENCY
sotif_A14_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,4ac223a20c0bdf55,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A14,AIS_RADAR_CONSISTENCY
sotif_A15_s1,Rule14,open_sea,sensor_degraded,1,False,PASS,0.3500,b3a3a85024d9014f,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A15,PERCEPTION_COVERAGE
sotif_A15_s2,Rule14,open_sea,sensor_degraded,2,False,PASS,0.3500,ed2fab294b2b1d3e,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A15,PERCEPTION_COVERAGE
sotif_A15_s3,Rule14,open_sea,sensor_degraded,3,False,PASS,0.3500,6480a70d923a7196,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A15,PERCEPTION_COVERAGE
sotif_A15_s4,Rule14,open_sea,sensor_degraded,4,False,PASS,0.3500,d430bc759e9d5991,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A15,PERCEPTION_COVERAGE
sotif_A15_s5,Rule14,open_sea,sensor_degraded,5,False,PASS,0.3500,367ff1fe184c9f87,1.0000,1.0000,0.0000,0.0000,1.0000,0.8000,,,A15,PERCEPTION_COVERAGE
sotif_B01_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,a94b56479df79559,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B01,PERCEPTION_COVERAGE
sotif_B01_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,126575284919647a,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B01,PERCEPTION_COVERAGE
sotif_B01_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,475466902da82be6,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B01,PERCEPTION_COVERAGE
sotif_B01_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,b6c8404cba35fe18,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B01,PERCEPTION_COVERAGE
sotif_B01_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,87f78511151ce632,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B01,PERCEPTION_COVERAGE
sotif_B02_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,975595adebb0abb6,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B02,PERCEPTION_COVERAGE
sotif_B02_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,991db441330d502d,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B02,PERCEPTION_COVERAGE
sotif_B02_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,13c49b4c6938ae00,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B02,PERCEPTION_COVERAGE
sotif_B02_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,d7f94581cae92f5e,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B02,PERCEPTION_COVERAGE
sotif_B02_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,71609cabf4112491,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B02,PERCEPTION_COVERAGE
sotif_B03_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,bac9fb064de1226a,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B03,TARGET_MOTION_PREDICTABILITY
sotif_B03_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,2d9e020e4a72cb0e,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B03,TARGET_MOTION_PREDICTABILITY
sotif_B03_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,4d53e22a4d589d9a,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B03,TARGET_MOTION_PREDICTABILITY
sotif_B03_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,c49cee4cd68d29a2,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B03,TARGET_MOTION_PREDICTABILITY
sotif_B03_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,3268ed3c08bd2937,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B03,TARGET_MOTION_PREDICTABILITY
sotif_B04_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,6e8f12de4845cbbd,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B04,PERCEPTION_COVERAGE
sotif_B04_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,ad813d6ccd143838,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B04,PERCEPTION_COVERAGE
sotif_B04_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,18f686cbc55e14be,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B04,PERCEPTION_COVERAGE
sotif_B04_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,2c2da9bb5b291c3c,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B04,PERCEPTION_COVERAGE
sotif_B04_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,bc69582b7edc73d0,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B04,PERCEPTION_COVERAGE
sotif_B05_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,844e31cabdd196c6,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B05,PERCEPTION_COVERAGE
sotif_B05_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,d3288fa0fae529a1,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B05,PERCEPTION_COVERAGE
sotif_B05_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,7ace80a1dccd9e7e,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B05,PERCEPTION_COVERAGE
sotif_B05_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,3e27153351ab5d1d,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B05,PERCEPTION_COVERAGE
sotif_B05_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,6bf556a31035d1dd,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B05,PERCEPTION_COVERAGE
sotif_B06_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,23fdbe77ca398d91,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B06,TARGET_MOTION_PREDICTABILITY
sotif_B06_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,effed56f1c433174,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B06,TARGET_MOTION_PREDICTABILITY
sotif_B06_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,f99a0de94a74d43a,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B06,TARGET_MOTION_PREDICTABILITY
sotif_B06_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,dba3b5bfaa16f7b9,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B06,TARGET_MOTION_PREDICTABILITY
sotif_B06_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,d977143db9667bc1,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B06,TARGET_MOTION_PREDICTABILITY
sotif_B07_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,f7383b1c3aa61b40,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B07,AIS_RADAR_CONSISTENCY
sotif_B07_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,be73f240f1ef5038,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B07,AIS_RADAR_CONSISTENCY
sotif_B07_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,b0716c8f5d55d5c8,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B07,AIS_RADAR_CONSISTENCY
sotif_B07_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,a5698f721c2fc1e8,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B07,AIS_RADAR_CONSISTENCY
sotif_B07_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,8b57fd3a254be0b3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B07,AIS_RADAR_CONSISTENCY
sotif_B08_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,c030b36b6f21dc14,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B08,PERCEPTION_COVERAGE
sotif_B08_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,b0540f024361adc3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B08,PERCEPTION_COVERAGE
sotif_B08_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,73d98b1c7a89f8e3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B08,PERCEPTION_COVERAGE
sotif_B08_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,3063b731b3c71da4,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B08,PERCEPTION_COVERAGE
sotif_B08_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,eeca948c7c0b5aae,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B08,PERCEPTION_COVERAGE
sotif_B09_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,85112e929bc364e3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B09,PERCEPTION_COVERAGE
sotif_B09_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,1ff909081c5e9a2c,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B09,PERCEPTION_COVERAGE
sotif_B09_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,775e03c59120730f,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B09,PERCEPTION_COVERAGE
sotif_B09_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,4e9b84b16031dd70,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B09,PERCEPTION_COVERAGE
sotif_B09_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,b441378c76e36836,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B09,PERCEPTION_COVERAGE
sotif_B10_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,93a9ceac0d061ac0,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B10,AIS_RADAR_CONSISTENCY
sotif_B10_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,bfcbe463f47666a3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B10,AIS_RADAR_CONSISTENCY
sotif_B10_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,79c8a857419958e7,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B10,AIS_RADAR_CONSISTENCY
sotif_B10_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,e4386a4dc4166bbf,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B10,AIS_RADAR_CONSISTENCY
sotif_B10_s5,Rule14,open_sea,sensor_degraded,5,False,SOFT_PASS,0.2800,8d7429985bf43477,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B10,AIS_RADAR_CONSISTENCY
sotif_B11_s1,Rule14,open_sea,sensor_degraded,1,False,SOFT_PASS,0.2800,7d157c21844e94f6,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B11,COMMS_LINK_AVAILABILITY
sotif_B11_s2,Rule14,open_sea,sensor_degraded,2,False,SOFT_PASS,0.2800,e1c486532aca6776,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B11,COMMS_LINK_AVAILABILITY
sotif_B11_s3,Rule14,open_sea,sensor_degraded,3,False,SOFT_PASS,0.2800,cbc05395a8a0e5a7,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B11,COMMS_LINK_AVAILABILITY
sotif_B11_s4,Rule14,open_sea,sensor_degraded,4,False,SOFT_PASS,0.2800,ffe0c71a57fa5ca3,1.0000,0.5000,0.0000,0.0000,1.0000,0.8000,,,B11,COMMS_LINK_AVAILABILITY
